Main function started
Starting to load data...
AutoMPG Object Created: Make = chevrolet, Model = chevelle malibu, Year = 70, MPG = 18.0 
AutoMPG Object Created: Make = buick, Model = skylark 320, Year = 70, MPG = 15.0 
AutoMPG Object Created: Make = plymouth, Model = satellite, Year = 70, MPG = 18.0 
AutoMPG Object Created: Make = amc, Model = rebel sst, Year = 70, MPG = 16.0 
AutoMPG Object Created: Make = ford, Model = torino, Year = 70, MPG = 17.0 
AutoMPG Object Created: Make = ford, Model = galaxie 500, Year = 70, MPG = 15.0 
AutoMPG Object Created: Make = chevrolet, Model = impala, Year = 70, MPG = 14.0 
AutoMPG Object Created: Make = plymouth, Model = fury iii, Year = 70, MPG = 14.0 
AutoMPG Object Created: Make = pontiac, Model = catalina, Year = 70, MPG = 14.0 
AutoMPG Object Created: Make = amc, Model = ambassador dpl, Year = 70, MPG = 15.0 
AutoMPG Object Created: Make = dodge, Model = challenger se, Year = 70, MPG = 15.0 
AutoMPG Object Created: Make = plymouth, Model = 'cuda 340, Year = 70, MPG = 14.0 
AutoMPG Object Created: Make = chevrolet, Model = monte carlo, Year = 70, MPG = 15.0 
AutoMPG Object Created: Make = buick, Model = estate wagon (sw), Year = 70, MPG = 14.0 
AutoMPG Object Created: Make = toyota, Model = corona mark ii, Year = 70, MPG = 24.0 
AutoMPG Object Created: Make = plymouth, Model = duster, Year = 70, MPG = 22.0 
AutoMPG Object Created: Make = amc, Model = hornet, Year = 70, MPG = 18.0 
AutoMPG Object Created: Make = ford, Model = maverick, Year = 70, MPG = 21.0 
AutoMPG Object Created: Make = datsun, Model = pl510, Year = 70, MPG = 27.0 
AutoMPG Object Created: Make = volkswagen, Model = 1131 deluxe sedan, Year = 70, MPG = 26.0 
AutoMPG Object Created: Make = peugeot, Model = 504, Year = 70, MPG = 25.0 
AutoMPG Object Created: Make = audi, Model = 100 ls, Year = 70, MPG = 24.0 
AutoMPG Object Created: Make = saab, Model = 99e, Year = 70, MPG = 25.0 
AutoMPG Object Created: Make = bmw, Model = 2002, Year = 70, MPG = 26.0 
AutoMPG Object Created: Make = amc, Model = gremlin, Year = 70, MPG = 21.0 
AutoMPG Object Created: Make = ford, Model = f250, Year = 70, MPG = 10.0 
Cleaning typo: chevy
Typo cleaned to: chevrolet
AutoMPG Object Created: Make = chevrolet, Model = c20, Year = 70, MPG = 10.0 
AutoMPG Object Created: Make = dodge, Model = d200, Year = 70, MPG = 11.0 
AutoMPG Object Created: Make = hi, Model = 1200d, Year = 70, MPG = 9.0 
AutoMPG Object Created: Make = datsun, Model = pl510, Year = 71, MPG = 27.0 
AutoMPG Object Created: Make = chevrolet, Model = vega 2300, Year = 71, MPG = 28.0 
AutoMPG Object Created: Make = toyota, Model = corona, Year = 71, MPG = 25.0 
AutoMPG Object Created: Make = ford, Model = pinto, Year = 71, MPG = 25.0 
AutoMPG Object Created: Make = amc, Model = gremlin, Year = 71, MPG = 19.0 
AutoMPG Object Created: Make = plymouth, Model = satellite custom, Year = 71, MPG = 16.0 
